year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,contest_id
2023,16340,3/4/2023,Cornell,167,3,Ivy League,865,/team/167/16340,1,Purdue Fort Wayne,308,6,Horizon,881,/team/308/16340,1,"Winston-Salem, NC",NA,/contests/2393051/box_score,https://stats.ncaa.org/contests/2393051/box_score,2393051
2023,16340,3/5/2023,Wake Forest,749,10,ACC,821,/team/749/16340,1,Cornell,167,3,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2393550/box_score,https://stats.ncaa.org/contests/2393550/box_score,2393550
2023,16340,3/10/2023,VCU,740,14,Atlantic 10,820,/team/740/16340,1,Cornell,167,9,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2394359/box_score,https://stats.ncaa.org/contests/2394359/box_score,2394359
2023,16340,3/11/2023,VCU,740,10,Atlantic 10,820,/team/740/16340,1,Cornell,167,5,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2394804/box_score,https://stats.ncaa.org/contests/2394804/box_score,2394804
2023,16340,3/12/2023,VCU,740,9,Atlantic 10,820,/team/740/16340,1,Cornell,167,3,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2395106/box_score,https://stats.ncaa.org/contests/2395106/box_score,2395106
2023,16340,3/18/2023,George Mason,248,10,Atlantic 10,820,/team/248/16340,1,Cornell,167,5,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2395802/box_score,https://stats.ncaa.org/contests/2395802/box_score,2395802
2023,16340,3/18/2023,George Mason,248,4,Atlantic 10,820,/team/248/16340,1,Cornell,167,3,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2396120/box_score,https://stats.ncaa.org/contests/2396120/box_score,2396120
2023,16340,3/19/2023,George Mason,248,15,Atlantic 10,820,/team/248/16340,1,Cornell,167,4,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2396548/box_score,https://stats.ncaa.org/contests/2396548/box_score,2396548
2023,16340,3/24/2023,Yale,813,3,Ivy League,865,/team/813/16340,1,Cornell,167,5,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2425907/box_score,https://stats.ncaa.org/contests/2425907/box_score,2425907
2023,16340,3/26/2023,Yale,813,12,Ivy League,865,/team/813/16340,1,Cornell,167,2,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2397730/box_score,https://stats.ncaa.org/contests/2397730/box_score,2397730
2023,16340,3/26/2023,Yale,813,5,Ivy League,865,/team/813/16340,1,Cornell,167,7,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2409848/box_score,https://stats.ncaa.org/contests/2409848/box_score,2409848
2023,16340,4/1/2023,Columbia,158,12,Ivy League,865,/team/158/16340,1,Cornell,167,7,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2426973/box_score,https://stats.ncaa.org/contests/2426973/box_score,2426973
2023,16340,4/2/2023,Columbia,158,15,Ivy League,865,/team/158/16340,1,Cornell,167,1,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2399195/box_score,https://stats.ncaa.org/contests/2399195/box_score,2399195
2023,16340,4/2/2023,Columbia,158,8,Ivy League,865,/team/158/16340,1,Cornell,167,13,Ivy League,865,/team/167/16340,1,NA,NA,/contests/2410374/box_score,https://stats.ncaa.org/contests/2410374/box_score,2410374
2023,16340,4/4/2023,Cornell,167,13,Ivy League,865,/team/167/16340,1,Ithaca,313,3,Liberty League,24197,/team/313/16340,3,NA,NA,/contests/2399848/box_score,https://stats.ncaa.org/contests/2399848/box_score,2399848
